scope,plan_fiscal_year,metric,value,numerator,denominator,sample_size,definition
ed_access_flow,2025/26,workplan_cycle_match_rate_pct,63.10679611650485,130,206,206,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,2025/26,progress_cycle_match_rate_pct,100.0,130,130,130,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,2025/26,workplan_row_cycle_match_rate_pct,58.76010781671159,218,371,371,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,2025/26,exact_idea_workplan_row_coverage_pct,58.76010781671159,218,371,371,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,2025/26,other_pct,30.0,111,370,370,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,all_historical,workplan_rows,489,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,progress_rows,234,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,total_cycles,272,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,valid_cycles,272,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,workplan_cycles,272,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,progress_cycles,135,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,matched_cycles,135,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,candidate_matched_cycles,135,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,unmatched_cycles,137,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,workplan_only_cycles,137,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,progress_only_cycles,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,ambiguous_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,cycles_needing_identity_review,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,exact_matches,135,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,normalized_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,fuzzy_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,outcome_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
ed_access_flow,all_historical,cycles_with_insufficient_data,0,0,0,0,Primary ED analysis-eligible cycles only
ed_access_flow,all_historical,target_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
ed_access_flow,all_historical,analysis_eligible_cycles,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,cycles_containing_multiple_interventions,117,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,cycles_with_implementation_conflicts,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,cycles_with_mixed_implementation,19,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,interventions,488,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,interventions_classified_other,147,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,interventions_with_implementation_conflicts,0,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,workplan_rows_in_matched_cycles,227,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,progress_rows_in_matched_cycles,234,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,exact_idea_matched_workplan_rows,227,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,all_historical,workplan_cycle_match_rate_pct,49.63235294117647,135,272,272,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,all_historical,progress_cycle_match_rate_pct,100.0,135,135,135,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,all_historical,workplan_row_cycle_match_rate_pct,46.421267893660534,227,489,489,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,all_historical,exact_idea_workplan_row_coverage_pct,46.421267893660534,227,489,489,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,all_historical,other_pct,30.12295081967213,147,488,488,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ProgressReportIndicatorReport 2025-26.csv,,raw_rows,1102,,,,Before analytical deduplication
ProgressReportIndicatorReport 2025-26.csv,,excluded_rows,0,,,,Before analytical deduplication
ProgressReportIndicatorReport 2025-26.csv,,exact_duplicate_excess,5,,,,Before analytical deduplication
ProgressReportIndicatorReport 2026-27.csv,,raw_rows,1246,,,,Before analytical deduplication
ProgressReportIndicatorReport 2026-27.csv,,excluded_rows,5,,,,Before analytical deduplication
ProgressReportIndicatorReport 2026-27.csv,,exact_duplicate_excess,4,,,,Before analytical deduplication
WorkplanIndicatorReport 2024-25.csv,,raw_rows,1688,,,,Before analytical deduplication
WorkplanIndicatorReport 2024-25.csv,,excluded_rows,0,,,,Before analytical deduplication
WorkplanIndicatorReport 2024-25.csv,,exact_duplicate_excess,9,,,,Before analytical deduplication
WorkplanIndicatorReport 2025-26.csv,,raw_rows,1742,,,,Before analytical deduplication
WorkplanIndicatorReport 2025-26.csv,,excluded_rows,0,,,,Before analytical deduplication
WorkplanIndicatorReport 2025-26.csv,,exact_duplicate_excess,5,,,,Before analytical deduplication
WorkplanIndicatorReport 2026-27.csv,,raw_rows,1804,,,,Before analytical deduplication
WorkplanIndicatorReport 2026-27.csv,,excluded_rows,0,,,,Before analytical deduplication
WorkplanIndicatorReport 2026-27.csv,,exact_duplicate_excess,18,,,,Before analytical deduplication
all_hospitals,2026/27,current_ideas,1739,,,,Current plans; no observed outcomes
all_hospitals,2026/27,current_ideas_other,627,,,,Current plans; no observed outcomes
