source_file_id,source_file,sha256,report_type,report_fiscal_year,encoding,row_count,byte_count,headers_json,constant_fields_json
file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73,ProgressReportIndicatorReport 2025-26.csv,2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73,progress,2025/26,utf-8-sig,1102,1030146,"[""Textbox382"",""Textbox333"",""Textbox429"",""Textbox417"",""Textbox405"",""Textbox393"",""Textbox369"",""Textbox345"",""sector_name_Text2"",""OrgCategory_Label_Text2"",""LHIN_Label_Text2"",""org_name_Text2"",""measure_header_Text2"",""formatted_current_value2"",""formatted_target_value2"",""formatted_progress_value2"",""progress2"",""planned_initiative"",""methods"",""process_measure""]","{""Textbox333"":""Sector: Acute Care/Hospital (AC)"",""Textbox345"":""Organization: ALL"",""Textbox369"":""Region: Toronto Region,East Region,West Region,Central Region,North East Region,North West Region"",""Textbox382"":""Fiscal Year: 2025/26"",""Textbox393"":""Indicator: ALL"",""Textbox405"":""Indicator Type: ALL"",""Textbox417"":""Domain: ALL"",""Textbox429"":""Model: ALL""}"
file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c,ProgressReportIndicatorReport 2026-27.csv,6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c,progress,2026/27,utf-8-sig,1246,1260499,"[""Textbox382"",""Textbox333"",""Textbox429"",""Textbox417"",""Textbox405"",""Textbox393"",""Textbox369"",""Textbox345"",""sector_name_Text2"",""OrgCategory_Label_Text2"",""LHIN_Label_Text2"",""org_name_Text2"",""measure_header_Text2"",""formatted_current_value2"",""formatted_target_value2"",""formatted_progress_value2"",""progress2"",""planned_initiative"",""methods"",""process_measure""]","{""Textbox333"":""Sector: Acute Care/Hospital (AC)"",""Textbox345"":""Organization: ALL"",""Textbox369"":""Region: Toronto Region,East Region,West Region,Central Region,North East Region,North West Region"",""Textbox382"":""Fiscal Year: 2026/27"",""Textbox393"":""Indicator: ALL"",""Textbox405"":""Indicator Type: ALL"",""Textbox417"":""Domain: ALL"",""Textbox429"":""Model: ALL""}"
