observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_ac386f469140995eddd5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_12,previous,formatted_current_value2,2.00,2.00,numeric
obs_81394a82557a40d9bf78,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_12,target,formatted_target_value2,0.00,0.00,numeric
obs_dcc7f5e95524a6f846cd,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_12,current,formatted_progress_value2,2.00,2.00,numeric
obs_d3a5b439845e7672e3db,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_13,previous,formatted_current_value2,77.00,77.00,numeric
obs_ea8db012a681951e2166,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_13,target,formatted_target_value2,80.00,80.00,numeric
obs_7cd286057d75d1b5921f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_13,current,formatted_progress_value2,82.00,82.00,numeric
obs_b26cee323d73a6cba57b,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_14,previous,formatted_current_value2,77.00,77.00,numeric
obs_2b0317d59840526a46e4,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_14,target,formatted_target_value2,80.00,80.00,numeric
obs_f466d1b1ecb3e792def6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_14,current,formatted_progress_value2,82.00,82.00,numeric
obs_9238e73991fc63b75583,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_15,previous,formatted_current_value2,77.00,77.00,numeric
obs_707ca5250bc529a474ed,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_15,target,formatted_target_value2,80.00,80.00,numeric
obs_b4c2d4da79556056eb86,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_15,current,formatted_progress_value2,82.00,82.00,numeric
obs_41235fb33aa648dd946d,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_16,previous,formatted_current_value2,CB,,CB
obs_83384ba9c9d29740ee19,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_16,target,formatted_target_value2,1.00,1.00,numeric
obs_3763f5dda6d6821b8251,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_16,current,formatted_progress_value2,100.00,100.00,numeric
obs_cdab1f2ce1b5616f31fd,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_17,previous,formatted_current_value2,CB,,CB
obs_b2aff837dec6b2038c9f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_17,target,formatted_target_value2,1.00,1.00,numeric
obs_65b9cb2be5b9bc2077f9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_17,current,formatted_progress_value2,100.00,100.00,numeric
obs_ceb39130cf38b42ff3bb,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_18,previous,formatted_current_value2,CB,,CB
obs_44ac9bee06088abf44d7,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_18,target,formatted_target_value2,1.00,1.00,numeric
obs_a5aa34f29b3228628704,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_18,current,formatted_progress_value2,100.00,100.00,numeric
obs_edbf447f484a594493f6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_19,previous,formatted_current_value2,CB,,CB
obs_3c51232d5684e5604968,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_19,target,formatted_target_value2,1.00,1.00,numeric
obs_175c37f90c01c644e8a7,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_19,current,formatted_progress_value2,100.00,100.00,numeric
obs_450d0c65159b622f34b2,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_20,previous,formatted_current_value2,CB,,CB
obs_3674f51f143464b084bd,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_20,target,formatted_target_value2,1.00,1.00,numeric
obs_06ecfec619cc7ea1e554,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_20,current,formatted_progress_value2,100.00,100.00,numeric
obs_79d090b65fc9e01ad4a5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_21,previous,formatted_current_value2,CB,,CB
obs_57926cd74ff9e406501d,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_21,target,formatted_target_value2,1.00,1.00,numeric
obs_b9eedbb437da8d6a3390,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_21,current,formatted_progress_value2,100.00,100.00,numeric
obs_230174e3b2c91b855db8,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_22,previous,formatted_current_value2,CB,,CB
obs_c8519c117ddcf3f97e5b,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_22,target,formatted_target_value2,1.00,1.00,numeric
obs_e80b12ee7b72c21b5749,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_22,current,formatted_progress_value2,100.00,100.00,numeric
obs_7971e46c4332cc68d314,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_23,previous,formatted_current_value2,CB,,CB
obs_bb61debd3abd9247666f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_23,target,formatted_target_value2,3.00,3.00,numeric
obs_e0d96cc7e78efe4eccb6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_23,current,formatted_progress_value2,-5.00,-5.00,numeric
obs_0392e8f45f57f7f6473e,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_24,previous,formatted_current_value2,CB,,CB
